2020-06-01 00:06:18 iters:8700, loss:0.3081, accuracy:0.7562
2020-06-01 00:07:40 iters:8800, loss:0.3007, accuracy:0.7499
2020-06-01 00:09:02 iters:8900, loss:0.2917, accuracy:0.7572
2020-06-01 00:10:24 iters:9000, loss:0.2949, accuracy:0.767
2020-06-01 00:11:46 iters:9100, loss:0.2940, accuracy:0.7654
2020-06-01 00:13:08 iters:9200, loss:0.2999, accuracy:0.7635
2020-06-01 00:14:30 iters:9300, loss:0.2941, accuracy:0.7576
2020-06-01 00:15:52 iters:9400, loss:0.3081, accuracy:0.7581
2020-06-01 00:17:14 iters:9500, loss:0.2967, accuracy:0.7618
2020-06-01 00:18:36 iters:9600, loss:0.2909, accuracy:0.7592
2020-06-01 00:19:58 iters:9700, loss:0.2865, accuracy:0.7563
2020-06-01 00:21:20 iters:9800, loss:0.2866, accuracy:0.7637
2020-06-01 00:22:42 iters:9900, loss:0.2892, accuracy:0.7543
2020-06-01 00:24:04 iters:10000, loss:0.2824, accuracy:0.7647
2020-06-01 00:25:26 iters:10100, loss:0.2864, accuracy:0.7616
2020-06-01 00:26:48 iters:10200, loss:0.2848, accuracy:0.7649
2020-06-01 00:28:10 iters:10300, loss:0.2699, accuracy:0.7586
2020-06-01 00:29:32 iters:10400, loss:0.2827, accuracy:0.7624
2020-06-01 00:30:54 iters:10500, loss:0.2842, accuracy:0.7598
2020-06-01 00:32:16 iters:10600, loss:0.2909, accuracy:0.7598
2020-06-01 00:33:38 iters:10700, loss:0.2851, accuracy:0.764
2020-06-01 00:35:00 iters:10800, loss:0.2711, accuracy:0.7588
2020-06-01 00:36:22 iters:10900, loss:0.2750, accuracy:0.7595
2020-06-01 00:37:44 iters:11000, loss:0.2741, accuracy:0.7641
2020-06-01 00:39:06 iters:11100, loss:0.2744, accuracy:0.7578
2020-06-01 00:40:28 iters:11200, loss:0.2651, accuracy:0.7694
2020-06-01 00:41:50 iters:11300, loss:0.2700, accuracy:0.7686
2020-06-01 00:43:12 iters:11400, loss:0.2677, accuracy:0.7645
2020-06-01 00:44:34 iters:11500, loss:0.2726, accuracy:0.7654
2020-06-01 00:45:56 iters:11600, loss:0.2716, accuracy:0.7669
2020-06-01 00:47:18 iters:11700, loss:0.2555, accuracy:0.7651
2020-06-01 00:48:40 iters:11800, loss:0.2778, accuracy:0.7604
2020-06-01 00:50:02 iters:11900, loss:0.2671, accuracy:0.7661
2020-06-01 00:51:25 iters:12000, loss:0.2680, accuracy:0.7759
2020-06-01 00:52:47 iters:12100, loss:0.2659, accuracy:0.7662
2020-06-01 00:54:08 iters:12200, loss:0.2681, accuracy:0.7651
2020-06-01 00:55:30 iters:12300, loss:0.2545, accuracy:0.7689
2020-06-01 00:56:53 iters:12400, loss:0.2542, accuracy:0.7675
2020-06-01 00:58:15 iters:12500, loss:0.2610, accuracy:0.7693
2020-06-01 00:59:37 iters:12600, loss:0.2641, accuracy:0.763
2020-06-01 01:00:59 iters:12700, loss:0.2614, accuracy:0.7666
2020-06-01 01:02:21 iters:12800, loss:0.2631, accuracy:0.7698
2020-06-01 01:03:42 iters:12900, loss:0.2656, accuracy:0.7733
2020-06-01 01:05:04 iters:13000, loss:0.2535, accuracy:0.7696
2020-06-01 01:06:27 iters:13100, loss:0.2613, accuracy:0.7685
2020-06-01 01:07:49 iters:13200, loss:0.2546, accuracy:0.7726
2020-06-01 01:09:11 iters:13300, loss:0.2543, accuracy:0.7679
2020-06-01 01:10:33 iters:13400, loss:0.2524, accuracy:0.7706
2020-06-01 01:11:55 iters:13500, loss:0.2563, accuracy:0.7748
2020-06-01 01:13:17 iters:13600, loss:0.2601, accuracy:0.7615
2020-06-01 01:14:38 iters:13700, loss:0.2516, accuracy:0.7719
2020-06-01 01:16:01 iters:13800, loss:0.2507, accuracy:0.7685
2020-06-01 01:17:23 iters:13900, loss:0.2523, accuracy:0.7679
2020-06-01 01:18:45 iters:14000, loss:0.2483, accuracy:0.7591
2020-06-01 01:20:07 iters:14100, loss:0.2563, accuracy:0.771
2020-06-01 01:21:29 iters:14200, loss:0.2494, accuracy:0.7725
2020-06-01 01:22:51 iters:14300, loss:0.2437, accuracy:0.771
2020-06-01 01:24:12 iters:14400, loss:0.2554, accuracy:0.7674
2020-06-01 01:25:35 iters:14500, loss:0.2469, accuracy:0.7727
2020-06-01 01:26:57 iters:14600, loss:0.2521, accuracy:0.7658
2020-06-01 01:28:19 iters:14700, loss:0.2503, accuracy:0.7762
2020-06-01 01:29:41 iters:14800, loss:0.2520, accuracy:0.7728
2020-06-01 01:31:03 iters:14900, loss:0.2474, accuracy:0.7728
2020-06-01 01:32:25 iters:15000, loss:0.2507, accuracy:0.7739
2020-06-01 01:33:47 iters:15100, loss:0.2381, accuracy:0.7618
2020-06-01 01:35:09 iters:15200, loss:0.2369, accuracy:0.7688
2020-06-01 01:36:31 iters:15300, loss:0.2511, accuracy:0.7716
2020-06-01 01:37:53 iters:15400, loss:0.2425, accuracy:0.7724
2020-06-01 01:39:15 iters:15500, loss:0.2469, accuracy:0.7697
2020-06-01 01:40:37 iters:15600, loss:0.2420, accuracy:0.7743
2020-06-01 01:41:59 iters:15700, loss:0.2398, accuracy:0.7752
2020-06-01 01:43:21 iters:15800, loss:0.2395, accuracy:0.768
2020-06-01 01:44:43 iters:15900, loss:0.2296, accuracy:0.7752
2020-06-01 01:46:05 iters:16000, loss:0.2457, accuracy:0.774
2020-06-01 01:47:27 iters:16100, loss:0.2452, accuracy:0.7738
2020-06-01 01:48:49 iters:16200, loss:0.2444, accuracy:0.7755
2020-06-01 01:50:11 iters:16300, loss:0.2409, accuracy:0.7704
2020-06-01 01:51:33 iters:16400, loss:0.2350, accuracy:0.7824
2020-06-01 01:52:55 iters:16500, loss:0.2416, accuracy:0.7727
2020-06-01 01:54:17 iters:16600, loss:0.2446, accuracy:0.7698
2020-06-01 01:55:39 iters:16700, loss:0.2315, accuracy:0.7749
2020-06-01 01:57:01 iters:16800, loss:0.2359, accuracy:0.7682
2020-06-01 01:58:23 iters:16900, loss:0.2399, accuracy:0.7612
2020-06-01 01:59:45 iters:17000, loss:0.2367, accuracy:0.7772
2020-06-01 02:01:07 iters:17100, loss:0.2297, accuracy:0.7755
2020-06-01 02:02:29 iters:17200, loss:0.2444, accuracy:0.7711
2020-06-01 02:03:51 iters:17300, loss:0.2317, accuracy:0.7845
2020-06-01 02:05:13 iters:17400, loss:0.2325, accuracy:0.7773
2020-06-01 02:06:35 iters:17500, loss:0.2289, accuracy:0.7826
2020-06-01 02:07:57 iters:17600, loss:0.2350, accuracy:0.7706
2020-06-01 02:09:19 iters:17700, loss:0.2317, accuracy:0.7728
2020-06-01 02:10:41 iters:17800, loss:0.2232, accuracy:0.7864
2020-06-01 02:12:03 iters:17900, loss:0.2300, accuracy:0.7784
2020-06-01 02:13:25 iters:18000, loss:0.2375, accuracy:0.7726
2020-06-01 02:14:47 iters:18100, loss:0.2352, accuracy:0.7728
2020-06-01 02:16:09 iters:18200, loss:0.2311, accuracy:0.7711
2020-06-01 02:17:31 iters:18300, loss:0.2315, accuracy:0.776
2020-06-01 02:18:53 iters:18400, loss:0.2280, accuracy:0.7785
2020-06-01 02:20:15 iters:18500, loss:0.2289, accuracy:0.7688
2020-06-01 02:21:37 iters:18600, loss:0.2344, accuracy:0.7719
2020-06-01 02:22:59 iters:18700, loss:0.2330, accuracy:0.7769
2020-06-01 02:24:21 iters:18800, loss:0.2323, accuracy:0.7782
2020-06-01 02:25:43 iters:18900, loss:0.2297, accuracy:0.7824
2020-06-01 02:27:05 iters:19000, loss:0.2323, accuracy:0.7752
2020-06-01 02:28:27 iters:19100, loss:0.2347, accuracy:0.7775
2020-06-01 02:29:49 iters:19200, loss:0.2278, accuracy:0.7719
2020-06-01 02:31:11 iters:19300, loss:0.2257, accuracy:0.7773
2020-06-01 02:32:34 iters:19400, loss:0.2354, accuracy:0.7762
2020-06-01 02:33:56 iters:19500, loss:0.2331, accuracy:0.7783
2020-06-01 02:35:17 iters:19600, loss:0.2276, accuracy:0.774
2020-06-01 02:36:39 iters:19700, loss:0.2292, accuracy:0.7821
2020-06-01 02:38:02 iters:19800, loss:0.2238, accuracy:0.7783
2020-06-01 02:39:24 iters:19900, loss:0.2323, accuracy:0.7686
2020-06-01 02:40:46 iters:20000, loss:0.2300, accuracy:0.7777
